They do not!	They do to!
Well, I guess because I'm a little psychic...I have this thing.	I don't know. Why doesn't it?
I don't know. Why doesn't it?	Why doesn't that surprise me?
Why doesn't that surprise me?	I came on a bus.
I came on a bus.	Here, pick these up!
Here, pick these up!	I just had a mental picture of...
I just had a mental picture of...	What's wrong with you?
What's wrong with you?	A walking penis capable of intelligent speech.  A dickhead.
A walking penis capable of intelligent speech.  A dickhead.	Dickhead?
Dickhead?	Forget it.  I'm sick of working for that dickhead.
Forget it.  I'm sick of working for that dickhead.	Say,...did you just lose your job because of me?
Say,...did you just lose your job because of me?	You're lost?
You're lost?	No, I'm lost.
No, I'm lost.	We? I'm going home. And, judging by that coat, I'd say you have to get back to the barber college.
We? I'm going home. And, judging by that coat, I'd say you have to get back to the barber college.	Where are we going?
Where are we going?	Yes, ma'am.  But my name is Adam.
Yes, ma'am.  But my name is Adam.	Come on, Heathcliff, I'll walk you to the corner.
Come on, Heathcliff, I'll walk you to the corner.	No, you get out of here.
No, you get out of here.	Get out of here!
Get out of here!	Well, your business must not be sports memorabilia, because this one Mantle card right here--  --is worth six thousand dollars all by its little self.
Well, your business must not be sports memorabilia, because this one Mantle card right here--  --is worth six thousand dollars all by its little self.	No.  I'm from out of town.  I'm here on business.
No.  I'm from out of town.  I'm here on business.	Are you French?
Are you French?	Bon soir, mademoiselle!
Bon soir, mademoiselle!	Of course!
Of course!	Yes, sir.
Yes, sir.	A card?
A card?	Fill this out please. And I'll need a card.
Fill this out please. And I'll need a card.	Good evening. I want to stay at this hotel.
Good evening. I want to stay at this hotel.	Nothing.
Nothing.	What?
What?	Is this because of the radiation?
Is this because of the radiation?	Gee-ma-nee!
Gee-ma-nee!	Yes, it is.
Yes, it is.	Is that a birthday cake?!
Is that a birthday cake?!	Archbishop Melker. We met earlier.
Archbishop Melker. We met earlier.	I've got almost everything we need! And this nice man...
I've got almost everything we need! And this nice man...	I promise.
I promise.	The front door is open.  Will you be back?
The front door is open.  Will you be back?	How do I leave here?
How do I leave here?	No. I don't need money anymore -- I see that now.
No. I don't need money anymore -- I see that now.	That's always a good idea! Would you like some money? I have a great deal of it.
That's always a good idea! Would you like some money? I have a great deal of it.	Of course you do.  I'll stay here and pray.
Of course you do.  I'll stay here and pray.	I've got to go, now.
I've got to go, now.	Yes.
Yes.	I know it has been terrible.  But it wasn't your fault. And now all the decay is over with and things are going to get better. You understand?
I know it has been terrible.  But it wasn't your fault. And now all the decay is over with and things are going to get better. You understand?	Ooooohhhh!!  Of course! The father! Forgive me!!  Can you forgive me for my wasted life?!  Everything has been so awful!!
Ooooohhhh!!  Of course! The father! Forgive me!!  Can you forgive me for my wasted life?!  Everything has been so awful!!	All in yellow?  Oh!  That was my father!
All in yellow?  Oh!  That was my father!	Yes!  Yes!  Oh, Lord!  Yes, oh, yes! But  where is the one who came last night -- all in yellow?!
Yes!  Yes!  Oh, Lord!  Yes, oh, yes! But  where is the one who came last night -- all in yellow?!	Are you all right?
Are you all right?	Hah!!! Those cagey rascals! Those sly dissemblers! Those, uh...  They've finally pulled the wool over everybody's eyes!
Hah!!! Those cagey rascals! Those sly dissemblers! Those, uh...  They've finally pulled the wool over everybody's eyes!	Uh, I think they have.
Uh, I think they have.	My gosh, those Commies are brilliant! You've got to hand it to 'em!  "No, we didn't drop any bombs!  Oh yes, our evil empire has collapsed!  Poor, poor us!"  I bet they've even asked the West for aid!  Right?!
My gosh, those Commies are brilliant! You've got to hand it to 'em!  "No, we didn't drop any bombs!  Oh yes, our evil empire has collapsed!  Poor, poor us!"  I bet they've even asked the West for aid!  Right?!	Uh-huh.
Uh-huh.	Yes. That's kind of how it was.
Yes. That's kind of how it was.	What? Did the politburo just one day say - "We give up?"
What? Did the politburo just one day say - "We give up?"	Yes, sir. It's true.
Yes, sir. It's true.	That's what everybody believes?
That's what everybody believes?	Positive. The Soviet Union collapsed without a shot being fired. The Cold War is over.
Positive. The Soviet Union collapsed without a shot being fired. The Cold War is over.	You're sure?
You're sure?	Dad, I don't know how to tell you this. And I was going to wait a while, but I think...Dad,there was no bomb. A plane crashed into our backyard. I looked it up in old newspapers.
Dad, I don't know how to tell you this. And I was going to wait a while, but I think...Dad,there was no bomb. A plane crashed into our backyard. I looked it up in old newspapers.	Uh-huh.
Uh-huh.	It's Ukrainian. Her grandparents immigrated here.
It's Ukrainian. Her grandparents immigrated here.	This is great son, just great. By the way, Eve's last name. Rus-to-kov, that's not Russian, is it?
This is great son, just great. By the way, Eve's last name. Rus-to-kov, that's not Russian, is it?	Well, in that case...of course, son.
Well, in that case...of course, son.	And, I'm asking you to trust me without understanding why.
And, I'm asking you to trust me without understanding why.	But, I don't understand.
But, I don't understand.	I'll try.
I'll try.	One more thing. If you find a healthy young woman, bring her back with you.
One more thing. If you find a healthy young woman, bring her back with you.	I promise. Is that all?
I promise. Is that all?	Poison gas. Invisible. Don't forget.
Poison gas. Invisible. Don't forget.	Adult Bookstore.  Why?
Adult Bookstore.  Why?	Also...stay out of the "Adult Bookstore."
Also...stay out of the "Adult Bookstore."	Yes, sir.  Is that all?
Yes, sir.  Is that all?	...the pipe tobacco.
...the pipe tobacco.	Yes, father?! Yes?
Yes, father?! Yes?	Adam...don't forget...don't forget ...
Adam...don't forget...don't forget ...	Merci!
Merci!	C'est bon, Monsieur.
C'est bon, Monsieur.	Shit is a French word?
Shit is a French word?	Helen-Thomas-Webber!  Maybe we have been down here a little too long!  Please excuse her French.
Helen-Thomas-Webber!  Maybe we have been down here a little too long!  Please excuse her French.	No, son! We wait for night.  Now...is precisely when... we must be at our... most cautious.
No, son! We wait for night.  Now...is precisely when... we must be at our... most cautious.	Well, do we just go on up?!
Well, do we just go on up?!	These are really swell! I mean swell!
These are really swell! I mean swell!	Your roller-skates! I redesigned them! I think this new design will work even better!
Your roller-skates! I redesigned them! I think this new design will work even better!	Holy Cow! What the heck are these?!
Holy Cow! What the heck are these?!	No kidding!
No kidding!	Your mom made that all by herself.
Your mom made that all by herself.	Oh, boy! A jacket!
Oh, boy! A jacket!	Blow out the candles!
Blow out the candles!	Thank you, Mom! Thanks, Dad!
Thank you, Mom! Thanks, Dad!	Because he must!
Because he must!	Then why go there?
Then why go there?	Because he's forced out at third! It's a force!
Because he's forced out at third! It's a force!	Why?
Why?	No, no! The runner on second goes to third! He's out there!
No, no! The runner on second goes to third! He's out there!	No. Sit down.
No. Sit down.	The nocturnal flying mammal?
The nocturnal flying mammal?	Uh, no. There's a man who throws the ball -- to a man who has a bat.
Uh, no. There's a man who throws the ball -- to a man who has a bat.	Like one of Mom's?
Like one of Mom's?	No, son. A pitcher.
No, son. A pitcher.	Like a painting?
Like a painting?	It's a game, son. I can explain it pretty easily. There's a pitcher.
It's a game, son. I can explain it pretty easily. There's a pitcher.	What's baseball?
What's baseball?	It's my entire baseball collection. It's yours now.
It's my entire baseball collection. It's yours now.	These are wonderful.
These are wonderful.	You know, you have a wonderful sense of humor, son!  I must say, the acorn doesn't fall very far from the tree. By the way, it's time I gave you something. Come with me.
You know, you have a wonderful sense of humor, son!  I must say, the acorn doesn't fall very far from the tree. By the way, it's time I gave you something. Come with me.	Haben sie etuas nettes in leder?!
Haben sie etuas nettes in leder?!	Sorgen sie bitte dafur das die gepack sorgfaltic behandeldt warren!
Sorgen sie bitte dafur das die gepack sorgfaltic behandeldt warren!	Gerade aus dann links!
Gerade aus dann links!	En arte voluptus. Que les bons temps roul!
En arte voluptus. Que les bons temps roul!	Tempus fugit!
Tempus fugit!	You're right!  It's Tuesday already! By gosh, time flies, doesn't it?!
You're right!  It's Tuesday already! By gosh, time flies, doesn't it?!	Latin exam, Dad.  It's Tuesday.
Latin exam, Dad.  It's Tuesday.	Sure. Now, let's move on to our French exam.
Sure. Now, let's move on to our French exam.	They're pretty.  Can I have them?
They're pretty.  Can I have them?	This is what money looks like.  It comes like this, in coin, or like this in paper.  Or you can have an "investment."  These are stock "certificates" that we bought in your name.  Of course, they're worthless now, but at one time they were quite valuable.
This is what money looks like.  It comes like this, in coin, or like this in paper.  Or you can have an "investment."  These are stock "certificates" that we bought in your name.  Of course, they're worthless now, but at one time they were quite valuable.	What?
What?	And thanks for always being happy!
And thanks for always being happy!	Bye, Adam!
Bye, Adam!	Bye, Troy!
Bye, Troy!	Goodbye.
Goodbye.	Good-bye, Adam.
Good-bye, Adam.	Yeah...Seems to.
Yeah...Seems to.	Does that work?
Does that work?	I know what you mean!  I usually wear a big hat and dark glasses.
I know what you mean!  I usually wear a big hat and dark glasses.	No, I wouldn't go in one of those places with a gas mask on.
No, I wouldn't go in one of those places with a gas mask on.	A magazine?  A toy perhaps?  In the bookstore.
A magazine?  A toy perhaps?  In the bookstore.	What?
What?	So, did you buy a movie?
So, did you buy a movie?	You bet!
You bet!	How 'bout we check with Eve first?
How 'bout we check with Eve first?	Okay, Troy!  Let's get those all-beef frozen patties!
Okay, Troy!  Let's get those all-beef frozen patties!	No!  There's an Adult Bookstore back there!  I'll be right back!
No!  There's an Adult Bookstore back there!  I'll be right back!	I'm sorry. I took the Lord's name in vain again, didn't I?  I'm so sorry.
I'm sorry. I took the Lord's name in vain again, didn't I?  I'm so sorry.	Okay. Thank you, my friends.
Okay. Thank you, my friends.	Yes! Lying is always a very effective dating tool.
Yes! Lying is always a very effective dating tool.	Ladies first, Troy! That was close.
Ladies first, Troy! That was close.	What?!
What?!	Oh. I see.
Oh. I see.	Miss Rustokov refuses to let total strangers drive her car.
Miss Rustokov refuses to let total strangers drive her car.	Why did you park way back there?
Why did you park way back there?	I LOVE THIS!!
I LOVE THIS!!	That's why little things mean so much to him.
That's why little things mean so much to him.	Amazing. I'm very impressed.
Amazing. I'm very impressed.	The recovery? Oh , yeah! Hey, they rebuilt the freeway in six months.
The recovery? Oh , yeah! Hey, they rebuilt the freeway in six months.	The recovery is very impressive.
The recovery is very impressive.	Almost all of them.
Almost all of them.	I guess a lot of those tall buildings we saw this morning are new.
I guess a lot of those tall buildings we saw this morning are new.	No.
No.	Isn't it a little tiring to sit up straight like that?
Isn't it a little tiring to sit up straight like that?	Okay.
Okay.	I just don't want to.
I just don't want to.	Why not? He has great pants.
Why not? He has great pants.	I'm not wearing his pants.
I'm not wearing his pants.	Not on him.
Not on him.	True.
True.	...I guess it's...just a matter of personal taste.
...I guess it's...just a matter of personal taste.	Well, I think Windows stink. What do you think of that?
Well, I think Windows stink. What do you think of that?	Yes. He likes windows.
Yes. He likes windows.	He's a Windows guy then, huh?
He's a Windows guy then, huh?	Oh, yes.  It would probably kill him.
Oh, yes.  It would probably kill him.	Yeah?
Yeah?	That would knock my father out.
That would knock my father out.	Okay, maybe she is psychic.  Let's go eat!
Okay, maybe she is psychic.  Let's go eat!	Mt. McKinley.  It's also the highest point in North America.
Mt. McKinley.  It's also the highest point in North America.	How do you get through those winters?  Well, you're right.  Juneau.  What's the highest peak?
How do you get through those winters?  Well, you're right.  Juneau.  What's the highest peak?	No.
No.	You don't have a computer in your cabin?
You don't have a computer in your cabin?	I don't think so.
I don't think so.	What are you talking about? This is the new Mac. You a hacker?
What are you talking about? This is the new Mac. You a hacker?	It's so small.
It's so small.	Yeah.
Yeah.	This must be very new.
This must be very new.	Sorry, that's the largest city.
Sorry, that's the largest city.	Hello! It's Anchorage!  Gotcha!
Hello! It's Anchorage!  Gotcha!	Juneau.
Juneau.	What's the capitol?
What's the capitol?	1867.  Seward's Folly. We paid 7.2 million dollars for it. A tidy sum then, as well as now. I'm quoting my father, of course.
1867.  Seward's Folly. We paid 7.2 million dollars for it. A tidy sum then, as well as now. I'm quoting my father, of course.	When did we get it from them?
When did we get it from them?	Russia.
Russia.	Who use to own it?
Who use to own it?	1959.
1959.	Well, we try. Listen, let me just ask you a few questions.  When did Alaska become a state?
Well, we try. Listen, let me just ask you a few questions.  When did Alaska become a state?	Why not just go to... Nome for supplies and a wife?  Isn't that closer?
Why not just go to... Nome for supplies and a wife?  Isn't that closer?	I've got goose-bumps all over me.
I've got goose-bumps all over me.	She's right?!
She's right?!	I've never met anyone like you in my life.
I've never met anyone like you in my life.	That's right?
That's right?	Well, Dionne Warwick, guess his home town.
Well, Dionne Warwick, guess his home town.	Right on the button.
Right on the button.	Really?  Since when?
Really?  Since when?	Maybe Eve can guess.  She's psychic.
Maybe Eve can guess.  She's psychic.	And it's called...?
And it's called...?	It's a very small place. People don't even know it's there.
It's a very small place. People don't even know it's there.	You nut!
You nut!	I love Lucy!
I love Lucy!	Well, I hope you like these! Fresh sea urchin wrapped in seaweed. Or "nori" if you prefer. I love sushi.
Well, I hope you like these! Fresh sea urchin wrapped in seaweed. Or "nori" if you prefer. I love sushi.	Not particularly.
Not particularly.	I do? Well, thank you! You like ceilings?
I do? Well, thank you! You like ceilings?	You have very nice ceilings.
You have very nice ceilings.	Goodnight.
Goodnight.	Yes. Up here on the fifteenth floor. Goodnight.
Yes. Up here on the fifteenth floor. Goodnight.	Up here on the fifteenth floor?
Up here on the fifteenth floor?	I guess living up here makes people look older.
I guess living up here makes people look older.	Twenty-five? Around there.
Twenty-five? Around there.	How old do I look?
How old do I look?	You don't look thirty-five.
You don't look thirty-five.	Thirty-five.
Thirty-five.	How old are you?
How old are you?	Good night!  Sleep tight.  Don't let the bedbugs bite!  That's what my Mom always says...  ...who I'm really beginning to miss. I'm sorry.  It's my first night away from home.
Good night!  Sleep tight.  Don't let the bedbugs bite!  That's what my Mom always says...  ...who I'm really beginning to miss. I'm sorry.  It's my first night away from home.	No kiddin'. Well...good night.
No kiddin'. Well...good night.	My father is a genius.
My father is a genius.	Thank you. Your father is a smart guy.
Thank you. Your father is a smart guy.	I see.  Well, thank you very much. You've been very, very nice.
I see.  Well, thank you very much. You've been very, very nice.	The hotel.
The hotel.	Of what?
Of what?	You dial nine to get out.
You dial nine to get out.	Just look!!
Just look!!	I don't see anything!
I don't see anything!	Up there!!
Up there!!	The sky?  Where?
The sky?  Where?	The sky!!!
The sky!!!	What?  What is it?!
What?  What is it?!	Gladly.
Gladly.	Well, that's great then! Terrific...except...it just occurred to me. I don't know where I live! I'm lost! I don't know where home is!  Would you excuse me?
Well, that's great then! Terrific...except...it just occurred to me. I don't know where I live! I'm lost! I don't know where home is!  Would you excuse me?	Sure.
Sure.	You could have a meat order that big delivered to your home.
You could have a meat order that big delivered to your home.	Then I'll need, twelve into nine hundred, seventy-five boxes. And that's almost...five hundred dollars just for the hamburger! And my Mom only gave me three thousand dollars for everything! The yacht batteries! The diesel oil! The birthday candles!
Then I'll need, twelve into nine hundred, seventy-five boxes. And that's almost...five hundred dollars just for the hamburger! And my Mom only gave me three thousand dollars for everything! The yacht batteries! The diesel oil! The birthday candles!	Frozen, they're six-thirty a dozen in the three pound box.
Frozen, they're six-thirty a dozen in the three pound box.	Come on. Frozen. How much are they?
Come on. Frozen. How much are they?	Yes, please.  I'm looking for all beef patties.
Yes, please.  I'm looking for all beef patties.	Help you?
Help you?	Good!
Good!	I do alright.
I do alright.	How do you do, ma'am.
How do you do, ma'am.	Say what?!
Say what?!	Oh, my holy stars! A Negro!
Oh, my holy stars! A Negro!	Whatcha looking at?
Whatcha looking at?	Hey, smart ass, how 'bout I kick your butt?
Hey, smart ass, how 'bout I kick your butt?	I didn't want to leave without saying how much I admire your jewelry.
I didn't want to leave without saying how much I admire your jewelry.	Oh, you got a problem with that?
Oh, you got a problem with that?	Sir? I would really appreciate it if you wouldn't take the Lord's name in vain again.
Sir? I would really appreciate it if you wouldn't take the Lord's name in vain again.	Well, we're here to help!
Well, we're here to help!	Oh, that would be wonderful!
Oh, that would be wonderful!	I see what ya mean. Tell you what...I'll give you five hundred dollars in small bills for the whole box.
I see what ya mean. Tell you what...I'll give you five hundred dollars in small bills for the whole box.	See, my problem is, all I have are hundred dollar bills and I need something smaller.  Ones, fives, tens. Like that.
See, my problem is, all I have are hundred dollar bills and I need something smaller.  Ones, fives, tens. Like that.	Really? No kidding?
Really? No kidding?	I was thinking of selling all the cards.
I was thinking of selling all the cards.	How--how much do you want for the Mickey Mantle, rookie season?
How--how much do you want for the Mickey Mantle, rookie season?	Hi.
Hi.	Hello.
Hello.	Yes.
Yes.	No.
No.	Eve and I...eloped.  We're married.
Eve and I...eloped.  We're married.	Well, where are you --
Well, where are you --	No, Mom, I've turned it into Dad's office.
No, Mom, I've turned it into Dad's office.	This is your bedroom?
This is your bedroom?	No, wait! At least stay for dinner!
No, wait! At least stay for dinner!	We have to go.
We have to go.	I can't explain it now.  But I want you to set the locks for two months. You have more than enough of everything.  Then we'll be back to get you.
I can't explain it now.  But I want you to set the locks for two months. You have more than enough of everything.  Then we'll be back to get you.	What?
What?	Mom?  Eve and I have to go.
Mom?  Eve and I have to go.	A psychiatrist?!
A psychiatrist?!	I think I'm being chased by a psychiatrist.
I think I'm being chased by a psychiatrist.	Are you in trouble, son?!
Are you in trouble, son?!	...and his church group have volunteered to help us bring the supplies down.  But we've got to hurry.
...and his church group have volunteered to help us bring the supplies down.  But we've got to hurry.	Heck, I know that mom! You're my parents.
Heck, I know that mom! You're my parents.	Your father has a few final words for you. You know, he'd fight a buzz saw for you - he loves you so much. We both do.
Your father has a few final words for you. You know, he'd fight a buzz saw for you - he loves you so much. We both do.	Yes, ma'am.
Yes, ma'am.	Here's the shopping list and $3,000 which should take care of everything.
Here's the shopping list and $3,000 which should take care of everything.	Yes, ma'am.
Yes, ma'am.	Oh, Adam,that would be wonderful if you could find a girl. One who's not a mutant...and hopefully comes from Pasadena. Nothing against Valley girls, but in my day anyhow, the girls from Pasadena, I don't know...always just seemed a little nicer.
Oh, Adam,that would be wonderful if you could find a girl. One who's not a mutant...and hopefully comes from Pasadena. Nothing against Valley girls, but in my day anyhow, the girls from Pasadena, I don't know...always just seemed a little nicer.	I was thinking that, uh...you know, while I was up there and all...that maybe I could, you know...try to meet a girl.  I've, been thinking about that a little...just these last...fifteen years or so.
I was thinking that, uh...you know, while I was up there and all...that maybe I could, you know...try to meet a girl.  I've, been thinking about that a little...just these last...fifteen years or so.	Yes?
Yes?	Mom?
Mom?	I just hope this is still good up there.
I just hope this is still good up there.	Right.
Right.	Yes, ma'am.
Yes, ma'am.	I don't know how far you'll have to travel to find supplies, but if you can't get home by nightfall, I want you to look for something called a Holiday Inn. Write that down. It's a hotel. There might still be one standing.
I don't know how far you'll have to travel to find supplies, but if you can't get home by nightfall, I want you to look for something called a Holiday Inn. Write that down. It's a hotel. There might still be one standing.	You're my brave boy.
You're my brave boy.	I'll be all right.
I'll be all right.	I'm afraid you've got to.
I'm afraid you've got to.	I'll go up.
I'll go up.	He seems to be doing all right now.  I don't know if he's had a heart attack or just... a horrifying experience. But we  need supplies and I've got to stay with him.
He seems to be doing all right now.  I don't know if he's had a heart attack or just... a horrifying experience. But we  need supplies and I've got to stay with him.	Oh, no! Oh, my goodness!   Let's get him into the bedroom.
Oh, no! Oh, my goodness!   Let's get him into the bedroom.	Dad!
Dad!	You never know. You may someday dine at the White House with the president.
You never know. You may someday dine at the White House with the president.	Sorry, Mom!
Sorry, Mom!	Elbows, Son.
Elbows, Son.	Yes, ma'am.
Yes, ma'am.	Oh. A nice one, I hope.
Oh. A nice one, I hope.	Let's all remain calm. That's the key thing.
Let's all remain calm. That's the key thing.	I was frightened and I didn't know what to think! But you know-I believe him. I think he just wants to go home. Wherever the hell that is...
I was frightened and I didn't know what to think! But you know-I believe him. I think he just wants to go home. Wherever the hell that is...	And now you must let me be the judge of that!
And now you must let me be the judge of that!	You know, I don't think so. I'm confused but you know, I don't think he'd ever hurt me. I don't think he'd hurt anyone.
You know, I don't think so. I'm confused but you know, I don't think he'd ever hurt me. I don't think he'd hurt anyone.	Calm down, please. This man needs help and you need protection from him. That's obvious.
Calm down, please. This man needs help and you need protection from him. That's obvious.	No, I can't have that! They'll come with their cars and their guns and their handcuffs--
No, I can't have that! They'll come with their cars and their guns and their handcuffs--	I have to. If a complaint is made and the person resists obser--
I have to. If a complaint is made and the person resists obser--	No!  Not the police!  Don't call them!
No!  Not the police!  Don't call them!	He'll catch him.  Hi. This is Nina Aron.  I've got a run away and I'm going to need police assistance.
He'll catch him.  Hi. This is Nina Aron.  I've got a run away and I'm going to need police assistance.	Oh, my God!
Oh, my God!	Yeah.
Yeah.	Good god.
Good god.	Yeah.
Yeah.	He drank it hot?
He drank it hot?	The neighbors over there said the guy spent day and night out here. She'd bring him sandwiches and hot Dr. Pepper.
The neighbors over there said the guy spent day and night out here. She'd bring him sandwiches and hot Dr. Pepper.	All back East.
All back East.	What about relatives?
What about relatives?	Unless we get a postcard or somethin', that's my guess.
Unless we get a postcard or somethin', that's my guess.	Well, he and Mrs. Nutcase must have been out here when the plane hit.
Well, he and Mrs. Nutcase must have been out here when the plane hit.	According to Caltech, this Webber guy was a bonafide genius and a borderline nutcase.
According to Caltech, this Webber guy was a bonafide genius and a borderline nutcase.	No, I can't.  I'm sorry!  I have to go!  I have to...
No, I can't.  I'm sorry!  I have to go!  I have to...	Uh-huh. And it's all yours for the remarkably low price of only $200! And if you act now, I might even throw in some free lawn furniture.
Uh-huh. And it's all yours for the remarkably low price of only $200! And if you act now, I might even throw in some free lawn furniture.	Really?
Really?	Cute Little Old Man, if you want a boy, I can be a boy.  And if you want a girl, I can be a girl.  I can be anything you want me to be!
Cute Little Old Man, if you want a boy, I can be a boy.  And if you want a girl, I can be a girl.  I can be anything you want me to be!	Yes, I can tell that just looking around.  "Boy?"  Did you say you were a "country boy?"
Yes, I can tell that just looking around.  "Boy?"  Did you say you were a "country boy?"	"Hell up here?"  Honey, it's been hell up here, down there and over yonder! Hell everywhere.
"Hell up here?"  Honey, it's been hell up here, down there and over yonder! Hell everywhere.	Yes, yes, the song.  So tell me...has it been...hell up here?
Yes, yes, the song.  So tell me...has it been...hell up here?	The blast?  Honey, I have survived a host of things. Like the song says: "A country boy can survive!"
The blast?  Honey, I have survived a host of things. Like the song says: "A country boy can survive!"	So...you...survived the blast, did you?
So...you...survived the blast, did you?	Good.
Good.	What?!  A light!  Yes, I've got a light!
What?!  A light!  Yes, I've got a light!	You got a light, honey?
You got a light, honey?	What can I offer you, Eve?
What can I offer you, Eve?	Some time.
Some time.	Well, please excuse us!  We...we haven't entertained a guest in...um...
Well, please excuse us!  We...we haven't entertained a guest in...um...	To keep what's up there from getting down here! It's not the radiation I'm worried about.
To keep what's up there from getting down here! It's not the radiation I'm worried about.	Well, that's...considerably shorter than before.  I was wondering, Calvin, why set the locks at all.  I mean the radiation is gone and...
Well, that's...considerably shorter than before.  I was wondering, Calvin, why set the locks at all.  I mean the radiation is gone and...	I thought ten years.
I thought ten years.	How long will you set it for this time?
How long will you set it for this time?	Amen.
Amen.	And Lord we ask finally that you send an angel to look after and protect our beloved son, Adam.  Amen.
And Lord we ask finally that you send an angel to look after and protect our beloved son, Adam.  Amen.	Yes, dear, I know.
Yes, dear, I know.	He's smart.
He's smart.	--do as I say!
--do as I say!	And the ocean!  A mountain range!
And the ocean!  A mountain range!	--and we will--
--and we will--	I want him to at least see the sky!
I want him to at least see the sky!	Well, I am the head of this household--
Well, I am the head of this household--	No, Calvin.  We're not going to make do.  Not me!  Not Adam.  We're going up no matter what!  We deserve it. Even if it's terrible!
No, Calvin.  We're not going to make do.  Not me!  Not Adam.  We're going up no matter what!  We deserve it. Even if it's terrible!	We'll make do.  I'm of the opinion that these mutants will eventually kill each other off and then--
We'll make do.  I'm of the opinion that these mutants will eventually kill each other off and then--	For how long?  We've just about run out of everything!
For how long?  We've just about run out of everything!	Excuse me.
Excuse me.	Yes.
Yes.	We do?
We do?	We stay down here.
We stay down here.	Oh my. Oh,my, oh my, oh, my. So, what do we do now?
Oh my. Oh,my, oh my, oh, my. So, what do we do now?	They've done a lot of re-building but society, at least as we knew it, has utterly collapsed. People throw up in the streets. Others point guns. There's something terribly wrong with the automobiles and...and I...I can't tell you the rest.  I just can't.
They've done a lot of re-building but society, at least as we knew it, has utterly collapsed. People throw up in the streets. Others point guns. There's something terribly wrong with the automobiles and...and I...I can't tell you the rest.  I just can't.	I don't believe it!
I don't believe it!	Yes.
Yes.	No.
No.	Others are...multi-sexual.  It seems...they can be both masculine and feminine...simultaneously.
Others are...multi-sexual.  It seems...they can be both masculine and feminine...simultaneously.	It's not a pretty sight. Some eat out of garbage cans.  Others are...cover your ears, Son, and hum.  I mean that literally and I mean right now!
It's not a pretty sight. Some eat out of garbage cans.  Others are...cover your ears, Son, and hum.  I mean that literally and I mean right now!	Mutants?!
Mutants?!	I'm going to give it to you straight. There's no point in beating around the bush. There were survivors. Apparently, the fallout has created....a subspecies of mutants.
I'm going to give it to you straight. There's no point in beating around the bush. There were survivors. Apparently, the fallout has created....a subspecies of mutants.	Yes! That's right!
Yes! That's right!	It's an archaic colloquialism, roughly meaning..."good".
It's an archaic colloquialism, roughly meaning..."good".	Yes, yes it is!
Yes, yes it is!	Just open the door.
Just open the door.	Should we say a little prayer first?
Should we say a little prayer first?	I know exactly what you mean!  Hey, honey?
I know exactly what you mean!  Hey, honey?	Oh, yes.  It just fascinates me how all    these things work.
Oh, yes.  It just fascinates me how all    these things work.	In the generator room again?
In the generator room again?	Sure.
Sure.	Would you excuse me?
Would you excuse me?	You know, when we do go up...I'm going to miss this old place. How 'bout you, hon?
You know, when we do go up...I'm going to miss this old place. How 'bout you, hon?	Yes...
Yes...	If we still have one.
If we still have one.	Yeah. Let's dig in!
Yeah. Let's dig in!	Let's eat our cake.
Let's eat our cake.	Well, we'll be going up in two years. We'll know then. I'm very hopeful.
Well, we'll be going up in two years. We'll know then. I'm very hopeful.	Calvin Webber! What a thing to say!
Calvin Webber! What a thing to say!	One who doesn't glow in the dark.
One who doesn't glow in the dark.	Well, we did in my family!
Well, we did in my family!	Oh, that's just a bunch of baloney! We never believed that in my family!
Oh, that's just a bunch of baloney! We never believed that in my family!	If he tells, it won't come true!
If he tells, it won't come true!	What did you wish for, Adam?
What did you wish for, Adam?	And I made these!
And I made these!	No kidding.  Who else would have done it?
No kidding.  Who else would have done it?	You bet.
You bet.	Get the presents and do the lights.
Get the presents and do the lights.	Coming!
Coming!	Calvin!
Calvin!	Hi.
Hi.	Hi, honey!
Hi, honey!	I believe there will be other survivors. In fact, I'm guessing there's life on the surface, even now. It's not life worth living perhaps, but believe me, something's moving around up there. And I don't just mean the cockroaches.
I believe there will be other survivors. In fact, I'm guessing there's life on the surface, even now. It's not life worth living perhaps, but believe me, something's moving around up there. And I don't just mean the cockroaches.	Oh, Calvin, I'm not sure we should be making promises that perhaps can't be kept.
Oh, Calvin, I'm not sure we should be making promises that perhaps can't be kept.	Yes, you certainly will. And you'll find a nice girl and rebuild America. Just the way it used to be.
Yes, you certainly will. And you'll find a nice girl and rebuild America. Just the way it used to be.	Nonsense. People have no idea what the human mind is capable of. Look at us!
Nonsense. People have no idea what the human mind is capable of. Look at us!	Yes, he's very bright, dear. Much like his father. But you know, Calvin, maybe he's a little...young for school.
Yes, he's very bright, dear. Much like his father. But you know, Calvin, maybe he's a little...young for school.	Not bad for a three and a half year old! I'd like to see the public school system match that! I don't care how terrific it is!
Not bad for a three and a half year old! I'd like to see the public school system match that! I don't care how terrific it is!	What?
What?	Watch this!
Watch this!	Yes.  Well... yes.
Yes.  Well... yes.	Very nice. Unless it caved in, too.
Very nice. Unless it caved in, too.	No reason.  Well, it's pretty clear that the front entrance caved in when the bomb went off. So, you know, when the time is up, we'll have to return to the surface using, you know, this back entrance.  Which is very nice because it has the service elevator!
No reason.  Well, it's pretty clear that the front entrance caved in when the bomb went off. So, you know, when the time is up, we'll have to return to the surface using, you know, this back entrance.  Which is very nice because it has the service elevator!	Why?
Why?	Oh, I was just examining this rear hatchway.
Oh, I was just examining this rear hatchway.	We looked all over for you. What are you doing back here?
We looked all over for you. What are you doing back here?	Right here!
Right here!	Calvin?!
